Phi[deg],Theta[deg],GainTotal
-6,10,5.14639
-4,10,5.1471
-2,10,5.14911
0,10,5.15241
2,10,5.15698
4,10,5.1628
6,10,5.16988
8,10,5.17818
10,10,5.1877
12,10,5.19842
14,10,5.21033
16,10,5.22341
18,10,5.23766
20,10,5.25305
22,10,5.26957
24,10,5.28721
26,10,5.30596
28,10,5.32581
30,10,5.34673
32,10,5.36872
34,10,5.39177
36,10,5.41586
38,10,5.44097
40,10,5.46711
42,10,5.49425
44,10,5.52238
46,10,5.55148
48,10,5.58154
50,10,5.61255
52,10,5.64449
54,10,5.67734
56,10,5.71108
58,10,5.74569
60,10,5.78115
62,10,5.81743
64,10,5.85452
66,10,5.89238
68,10,5.93098
70,10,5.9703
72,10,6.01029
74,10,6.05093
76,10,6.09217
78,10,6.13397
80,10,6.1763
82,10,6.21909
84,10,6.26232
86,10,6.30591
88,10,6.34983
90,10,6.39401
92,10,6.4384
94,10,6.48293
96,10,6.52754
98,10,6.57217
100,10,6.61676
102,10,6.66122
104,10,6.7055
106,10,6.74952
108,10,6.7932
110,10,6.83649
112,10,6.8793
114,10,6.92156
116,10,6.96319
118,10,7.00414
120,10,7.04431
122,10,7.08365
124,10,7.12209
126,10,7.15955
128,10,7.19597
130,10,7.2313
132,10,7.26546
134,10,7.29841
136,10,7.33009
138,10,7.36044
140,10,7.38943
142,10,7.41701
144,10,7.44314
146,10,7.46778
148,10,7.4909
150,10,7.51248
152,10,7.53249
154,10,7.55091
156,10,7.56772
158,10,7.58292
160,10,7.59648
162,10,7.60841
164,10,7.6187
166,10,7.62735
168,10,7.63436
170,10,7.63974
172,10,7.64349
174,10,7.64561
176,10,7.64612
178,10,7.64503
180,10,7.64235
-180,12,7.6583
-178,12,7.65298
-176,12,7.64592
-174,12,7.63717
-172,12,7.62672
-170,12,7.61461
-168,12,7.60085
-166,12,7.58545
-164,12,7.56843
-162,12,7.54981
-160,12,7.52961
-158,12,7.50783
-156,12,7.48449
-154,12,7.45961
-152,12,7.4332
-150,12,7.40529
-148,12,7.37589
-146,12,7.34502
-144,12,7.3127
-142,12,7.27898
-140,12,7.24386
-138,12,7.20738
-136,12,7.16958
-134,12,7.1305
-132,12,7.09017
-130,12,7.04865
-128,12,7.00597
-126,12,6.9622
-124,12,6.91738
-122,12,6.87158
-120,12,6.82486
-118,12,6.77728
-116,12,6.7289
-114,12,6.6798
-112,12,6.63005
-110,12,6.57973
-108,12,6.5289
-106,12,6.47765
-104,12,6.42606
-102,12,6.37419
-100,12,6.32214
-98,12,6.26998
-96,12,6.2178
-94,12,6.16566
-92,12,6.11366
-90,12,6.06187
-88,12,6.01037
-86,12,5.95924
